alpha I DeltaAlpha DeltaI
0	33   0.5 0.5
10	35   0.5 0.5
20	38   0.5 0.5
30	41   0.5 0.5
40	43.5 0.5 0.5
60	45   0.5 0.5
50	45   0.5 0.5
70	45   0.5 0.5
80	43   0.5 0.5
90	40   0.5 0.5
100	37   0.5 0.5
110	34   0.5 0.5
120	32   0.5 0.5
130	29   0.5 0.5
140	28   0.5 0.5
150	27   0.5 0.5
160	28   0.5 0.5
170	29   0.5 0.5
180	32   0.5 0.5
190	35   0.5 0.5
