alpha I DeltaAlpha DeltaI
5 75   0.5 0.5
10 74  0.5 0.5
15 71  0.5 0.5
20 68  0.5 0.5
25 63  0.5 0.5
30 56  0.5 0.5
35 48  0.5 0.5
40 36  0.5 0.5
45 20  0.5 0.5
50 12  0.5 0.5
52 10  0.5 0.5
54 9.5 0.5 0.5
55 9   0.5 0.5
56 10  0.5 0.5
60 18  0.5 0.5
65 41  0.5 0.5
70 62  0.5 0.5
