alpha I DeltaAlpha DeltaI
39.5 13   0.5 0.5
45   13   0.5 0.5
50   14   0.5 0.5
55   15.5 0.5 0.5
60   19   0.5 0.5
65   23   0.5 0.5
70   26   0.5 0.5
75   32   0.5 0.5
80   37   0.5 0.5
85   42   0.5 0.5
90   49   0.5 0.5
95   54   0.5 0.5
100  60   0.5 0.5
105  65   0.5 0.5
110  69   0.5 0.5
115  73   0.5 0.5
120  75   0.5 0.5
125  77   0.5 0.5
130  79   0.5 0.5
135  79   0.5 0.5
140  77   0.5 0.5
145  74   0.5 0.5
150  71   0.5 0.5
155  69   0.5 0.5
160  63   0.5 0.5
