alpha I DeltaAlpha DeltaI
10 27   0.5 0.5
15 26   0.5 0.5
20 25   0.5 0.5
25 23.5 0.5 0.5
30 21   0.5 0.5
35 18.5 0.5 0.5
40 16.5 0.5 0.5
45 14   0.5 0.5
50 15   0.5 0.5
55 16   0.5 0.5
60 20.5 0.5 0.5
65 31   0.5 0.5
70 55   0.5 0.5
75 190  0.5 5  
80 450  0.5 5  
